block_id,bar_close_ms,strip_path,m15_count
20221211-A-GBPUSD,1670803200000,strips/2h/20221211-A-GBPUSD.csv,8
20221211-B-GBPUSD,1670810400000,strips/2h/20221211-B-GBPUSD.csv,8
20221211-C-GBPUSD,1670817600000,strips/2h/20221211-C-GBPUSD.csv,8
20221211-D-GBPUSD,1670824800000,strips/2h/20221211-D-GBPUSD.csv,8
20221211-E-GBPUSD,1670832000000,strips/2h/20221211-E-GBPUSD.csv,8
20221211-F-GBPUSD,1670839200000,strips/2h/20221211-F-GBPUSD.csv,8
20221211-G-GBPUSD,1670846400000,strips/2h/20221211-G-GBPUSD.csv,8
20221211-H-GBPUSD,1670853600000,strips/2h/20221211-H-GBPUSD.csv,8
20221211-I-GBPUSD,1670860800000,strips/2h/20221211-I-GBPUSD.csv,8
20221211-J-GBPUSD,1670868000000,strips/2h/20221211-J-GBPUSD.csv,8
20221211-K-GBPUSD,1670875200000,strips/2h/20221211-K-GBPUSD.csv,8
20221211-L-GBPUSD,1670882400000,strips/2h/20221211-L-GBPUSD.csv,8
20221212-A-GBPUSD,1670889600000,strips/2h/20221212-A-GBPUSD.csv,8
20221212-B-GBPUSD,1670896800000,strips/2h/20221212-B-GBPUSD.csv,8
20221212-C-GBPUSD,1670904000000,strips/2h/20221212-C-GBPUSD.csv,8
20221212-D-GBPUSD,1670911200000,strips/2h/20221212-D-GBPUSD.csv,8
20221212-E-GBPUSD,1670918400000,strips/2h/20221212-E-GBPUSD.csv,8
20221212-F-GBPUSD,1670925600000,strips/2h/20221212-F-GBPUSD.csv,8
20221212-G-GBPUSD,1670932800000,strips/2h/20221212-G-GBPUSD.csv,8
20221212-H-GBPUSD,1670940000000,strips/2h/20221212-H-GBPUSD.csv,8
20221212-I-GBPUSD,1670947200000,strips/2h/20221212-I-GBPUSD.csv,8
20221212-J-GBPUSD,1670954400000,strips/2h/20221212-J-GBPUSD.csv,8
20221212-K-GBPUSD,1670961600000,strips/2h/20221212-K-GBPUSD.csv,8
20221212-L-GBPUSD,1670968800000,strips/2h/20221212-L-GBPUSD.csv,8
20221213-A-GBPUSD,1670976000000,strips/2h/20221213-A-GBPUSD.csv,8
20221213-B-GBPUSD,1670983200000,strips/2h/20221213-B-GBPUSD.csv,8
20221213-C-GBPUSD,1670990400000,strips/2h/20221213-C-GBPUSD.csv,8
20221213-D-GBPUSD,1670997600000,strips/2h/20221213-D-GBPUSD.csv,8
20221213-E-GBPUSD,1671004800000,strips/2h/20221213-E-GBPUSD.csv,8
20221213-F-GBPUSD,1671012000000,strips/2h/20221213-F-GBPUSD.csv,8
20221213-G-GBPUSD,1671019200000,strips/2h/20221213-G-GBPUSD.csv,8
20221213-H-GBPUSD,1671026400000,strips/2h/20221213-H-GBPUSD.csv,8
20221213-I-GBPUSD,1671033600000,strips/2h/20221213-I-GBPUSD.csv,8
20221213-J-GBPUSD,1671040800000,strips/2h/20221213-J-GBPUSD.csv,8
20221213-K-GBPUSD,1671048000000,strips/2h/20221213-K-GBPUSD.csv,8
20221213-L-GBPUSD,1671055200000,strips/2h/20221213-L-GBPUSD.csv,8
